,count,mean,std,min,25%,50%,75%,max
Depression,12283.0,0.09,0.29,0.0,0.0,0.0,0.0,1.0
Male,12283.0,0.51,0.5,0.0,0.0,1.0,1.0,1.0
Age,12283.0,60.78,9.45,45.0,52.0,60.0,67.0,100.0
Married,12283.0,0.85,0.36,0.0,1.0,1.0,1.0,1.0
L_Edu,12283.0,0.24,0.43,0.0,0.0,0.0,0.0,1.0
M_Edu,12283.0,0.63,0.48,0.0,0.0,1.0,1.0,1.0
H_Edu,12283.0,0.13,0.34,0.0,0.0,0.0,0.0,1.0
Working,12283.0,0.68,0.47,0.0,0.0,1.0,1.0,1.0
Rural,12283.0,0.61,0.49,0.0,0.0,1.0,1.0,1.0
Son,12283.0,1.39,0.99,0.0,1.0,1.0,2.0,7.0
Daughter,12283.0,1.29,1.1,0.0,1.0,1.0,2.0,9.0
Coresd,12283.0,0.54,0.5,0.0,0.0,1.0,1.0,1.0
HHres,12283.0,3.06,1.35,1.0,2.0,3.0,4.0,15.0
Durable,12283.0,4132.29,5847.74,0.0,700.0,2200.0,5000.0,45800.0
MoneytChild,12283.0,3713.54,9443.91,0.0,0.0,0.0,2000.0,98000.0
MoneyfChild,12283.0,4686.39,6990.84,0.0,200.0,2000.0,6000.0,46000.0
Province,12283.0,14.75,7.84,2.0,9.0,15.0,21.0,31.0
Diff_bath,12283.0,0.06,0.23,0.0,0.0,0.0,0.0,1.0
Diff_dress,12283.0,0.05,0.21,0.0,0.0,0.0,0.0,1.0
Diff_eat,12283.0,0.02,0.14,0.0,0.0,0.0,0.0,1.0
Diff_phone,12283.0,0.14,0.35,0.0,0.0,0.0,0.0,1.0
Diff_money,12283.0,0.08,0.27,0.0,0.0,0.0,0.0,1.0
Diff_medication,12283.0,0.04,0.18,0.0,0.0,0.0,0.0,1.0
Smoke,12283.0,0.29,0.45,0.0,0.0,0.0,1.0,1.0
Alcohol,12283.0,0.36,0.48,0.0,0.0,0.0,1.0,1.0
Social_Acti,12283.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0
Logic,12283.0,2.79,1.97,0.0,1.0,2.0,5.0,5.0
Memory,12283.0,6.7,3.68,0.0,4.0,7.0,9.0,20.0
H_bpressure,12283.0,0.32,0.47,0.0,0.0,0.0,1.0,1.0
Diabetes,12283.0,0.09,0.29,0.0,0.0,0.0,0.0,1.0
Cancer,12283.0,0.02,0.13,0.0,0.0,0.0,0.0,1.0
Lung,12283.0,0.14,0.35,0.0,0.0,0.0,0.0,1.0
Heart,12283.0,0.17,0.37,0.0,0.0,0.0,0.0,1.0
Stroke,12283.0,0.03,0.18,0.0,0.0,0.0,0.0,1.0
Arthritis,12283.0,0.41,0.49,0.0,0.0,0.0,1.0,1.0
Dyslipidemia,12283.0,0.17,0.37,0.0,0.0,0.0,0.0,1.0
Liver,12283.0,0.06,0.24,0.0,0.0,0.0,0.0,1.0
Kidney,12283.0,0.09,0.29,0.0,0.0,0.0,0.0,1.0
Digest,12283.0,0.29,0.46,0.0,0.0,0.0,1.0,1.0
Asthma,12283.0,0.05,0.23,0.0,0.0,0.0,0.0,1.0
